Content Type,Video title,Video publish date,Video publish year,definition,caption,pushblishDayName,tagCount,noOfWordsInTitle,durationSecs,likeCount,commentCount,Views,View-to-Like Ratio,Comments per View,Views per Minute,dayType
Video,20000 Magnets Vs A Car,06-01-2023,2023,hd,FALSE,Monday,0,5,723,711651,24418,28715980,2.478240339,0.085032794,2383068.88,Workday
Video,Eating A $10000 Golden Steak (24k Gold),07-01-2023,2023,hd,FALSE,Friday,0,7,990,1822408,90470,106209080,1.715868361,0.085181041,6436913.939,Workday
Video,Last To Take Hand Off House Keeps It!,08-01-2023,2023,hd,FALSE,Tuesday,20,8,1050,1177681,44068,61722907,1.908012855,0.071396508,3527023.257,Workday
Video,I Gave Him One Hour To Spend $100000!,09-01-2023,2023,hd,FALSE,Tuesday,0,8,830,1389839,69882,67200906,2.068184914,0.103989669,4857896.819,Workday
Video,How I Gave Away $1000000,10-01-2023,2023,hd,FALSE,Tuesday,0,5,914,488921,35069,14131014,3.459914483,0.248170443,927637.6805,Workday
Video,Giving $100000 To A Homeless Person,11-01-2023,2023,hd,FALSE,Sunday,0,6,884,1009166,72927,29945717,3.369984429,0.243530652,2032514.729,Weekend
Video,I Spent 24 Hours Straight In Prison - Challenge,12-01-2023,2023,hd,FALSE,Wednesday,0,9,892,1776402,76378,92448612,1.921502077,0.082616708,6218516.502,Workday
Video,Donating $10000 To Pewdiepie,13-01-2023,2023,hd,FALSE,Sunday,0,4,915,1704542,51416,45297956,3.762955662,0.113506225,2970357.77,Weekend
Video,Last Youtuber To Leave Wins $100000 - Challenge,14-01-2023,2023,hd,FALSE,Wednesday,0,8,1479,1891464,98144,75872337,2.49295603,0.129354128,3077985.274,Workday
Video,I Put Millions Of Pennies In My Friends Backyard,15-01-2023,2023,hd,FALSE,Saturday,0,9,881,1711815,59358,86164453,1.986683534,0.068889197,5868180.681,Weekend
Video,Surprising TFue With A Fortnite Battle Bus In Real Life,16-01-2023,2023,hd,FALSE,Friday,0,10,865,1796186,64311,94778284,1.895145095,0.067854151,6574216.231,Workday
Video,I Built A Giant House Using Only Legos,17-01-2023,2023,hd,FALSE,Sunday,0,8,829,1005620,50794,59415114,1.692532308,0.085490032,4300249.505,Weekend
Video,Last To Leave Slime Pit Wins $20000 - Challenge,18-01-2023,2023,hd,FALSE,Friday,0,9,1088,1755531,71255,92074962,1.906632337,0.077388031,5077663.346,Workday
Video,Destroyed Friends House And Bought Him A New One,20-01-2023,2023,hd,FALSE,Saturday,0,9,878,1074063,70389,40645726,2.642499238,0.17317688,2777612.255,Weekend
Video,Spending $40000 In One Hour Challenge,22-01-2023,2023,hd,FALSE,Saturday,20,6,849,905689,56599,42417326,2.135186457,0.133433682,2997690.883,Weekend
Video,Giving My 10000000th Subscriber 10000000 ___,23-01-2023,2023,hd,FALSE,Tuesday,0,6,1099,675943,32435,24549533,2.753384352,0.13212064,1340283.876,Workday
Video,$10000 Games Of Rock Paper Scissors,24-01-2023,2023,hd,FALSE,Sunday,0,6,787,504882,26038,17774728,2.840448529,0.14648888,1355125.388,Weekend
